country,year,countryyear,iso3c,iso3n,cowcode,hrmicode,disap_mean,disap_sd,disap_lo,disap_hi,exkill_mean,exkill_sd,exkill_lo,exkill_hi,arrest_mean,arrest_sd,arrest_lo,arrest_hi,tort_mean,tort_sd,tort_lo,tort_hi,dpex_mean,dpex_sd,dpex_lo,dpex_hi,express_mean,express_sd,express_lo,express_hi,polpart_mean,polpart_sd,polpart_lo,polpart_hi,assem_mean,assem_sd,assem_lo,assem_hi,rel_mean,rel_sd,rel_lo,rel_hi,physint_mean,physint_sd,physint_lo,physint_hi,empower_mean,empower_sd,empower_lo,empower_hi
Malaysia,2020,MYS2020,MYS,458,820,41,8.2532787,.34808993,7.8077235,8.6988335,7.0171685,.29629225,6.6379147,7.3964224,5.3218679,.42963722,4.7719321,5.8718038,4.5926585,.32828292,4.1724563,5.0128608,10,0,10,10,4.0340481,.22981723,3.739882,4.3282142,4.9008341,.59907925,4.1340127,5.6676555,4.0690517,.30857,3.674082,4.4640212,,,,,6.8836894,.73060292,5.9485178,7.818861,4.3315897,.66924238,3.4749594,5.18822
Malaysia,2021,MYS2021,MYS,458,820,41,8.1048899,.31430337,7.7025814,8.5071983,7.1392961,.42827567,6.5911031,7.687489,5.6246672,.43818286,5.0637932,6.1855412,4.803081,.34976611,4.3553805,5.2507815,10,0,10,10,3.9552929,.35426322,3.5018361,4.4087501,6.0876241,.4132241,5.5586972,6.6165509,3.9398589,.37136084,3.4645171,4.4152007,,,,,6.8601074,.75250399,5.8969021,7.8233128,4.4841342,.66046441,3.6387398,5.3295288
Malaysia,2022,MYS2022,MYS,458,820,41,8.0588255,.39964637,7.5472779,8.5703726,7.4389315,.51890844,6.7747288,8.1031342,5.9244995,.44101241,5.3600035,6.4889956,4.8932858,.35378987,4.4404349,5.3461366,10,0,10,10,4.0783029,.33301923,3.6520383,4.5045676,6.4761047,.38941976,5.9776473,6.9745622,4.6679544,.45654929,4.0835714,5.2523375,,,,,6.9989438,.72500765,6.0709338,7.9269538,4.9856324,.69602561,4.0947194,5.8765454
Taiwan,2019,TWN2019,TWN,,713,42,9.1531219,.25167692,8.8309755,9.4752684,8.1271534,.21646033,7.8500843,8.4042225,7.402575,.29322281,7.0272498,7.7779002,6.8382497,.23608965,6.5360551,7.1404443,10,0,10,10,7.2807088,.2007686,7.023725,7.5376925,7.5480199,.19997497,7.2920518,7.803988,7.6212773,.20854396,7.354341,7.8882136,,,,,8.1712799,.72327083,7.2454934,9.0970669,7.4418163,.64341384,6.6182466,8.2653856
Taiwan,2020,TWN2020,TWN,,713,42,8.7465324,.1574792,8.5449591,8.9481058,8.2990637,.14647788,8.1115723,8.4865551,7.7974834,.17485474,7.5736694,8.0212975,6.6540947,.17992952,6.4237847,6.8844047,7.8831649,.090215102,7.7676897,7.9986401,7.1965027,.15886588,6.9931545,7.3998508,7.6134562,.15661271,7.412992,7.8139205,7.4494166,.16145544,7.2427535,7.6560798,,,,,7.8857226,.72154093,6.9621501,8.8092947,7.434967,.65209901,6.6002803,8.2696533
Taiwan,2021,TWN2021,TWN,,713,42,8.5051928,.13642119,8.330574,8.6798115,8.5161686,.13935065,8.3378,8.6945372,7.9729676,.15784995,7.7709198,8.1750154,6.5070081,.19154617,6.2618289,6.7521873,10,0,10,10,7.3259068,.21068454,7.0562305,7.595583,7.3695469,.20113337,7.1120963,7.6269975,7.0792208,.21085948,6.8093204,7.3491211,9.5223322,.35157683,9.0723143,9.9723501,8.0457201,.71770388,7.127059,8.9643812,7.3449373,.6489681,6.5142584,8.1756163
Taiwan,2022,TWN2022,TWN,,713,42,8.5869188,.20742127,8.3214197,8.8524179,8.5445461,.20718071,8.279355,8.8097372,7.8984985,.25162509,7.5764184,8.2205782,6.6298885,.29130751,6.2570148,7.0027623,10,0,10,10,7.8550668,.32340214,7.441112,8.269022,6.6793718,.3270084,6.2608013,7.0979424,7.2342086,.29080153,6.8619828,7.6064343,9.5330477,.35704771,9.0760269,9.9900684,8.0101547,.71909201,7.0897169,8.9305925,7.4418707,.64936841,6.6106791,8.2730627
China,2020,CHN2020,CHN,156,710,43,3.4982736,.19976966,3.2425685,3.7539787,5.6074748,.1990806,5.3526516,5.862298,3.0507684,.17127752,2.8315332,3.2700036,2.8266821,.19111459,2.5820553,3.0713089,1,.52238417,.33134827,1.6686517,2.4465485,.13355944,2.2755923,2.6175046,2.0501425,.16792275,1.8352014,2.2650836,2.0443273,.16802298,1.8292578,2.2593966,,,,,2.9126382,.70583314,2.0091717,3.8161047,2.0613749,.66629112,1.2085223,2.9142275
China,2021,CHN2021,CHN,156,710,43,3.5623863,.15257682,3.3670878,3.7576847,5.652709,.15603417,5.4529853,5.8524327,3.1662648,.15047997,2.9736505,3.3588791,2.8571234,.15084611,2.6640403,3.0502064,1.00746,.41285408,.47900677,1.5359132,2.4146476,.11430596,2.2683361,2.5609591,2.0374296,.14180365,1.8559209,2.2189384,1.9338489,.12400947,1.7751167,2.092581,2.3749251,.18125702,2.1429162,2.6069341,2.8734159,.70276284,1.9738795,3.7729523,1.985938,.65094304,1.1527308,2.819145
China,2022,CHN2022,CHN,156,710,43,3.499028,.24833563,3.1811583,3.8168976,5.7244334,.2708078,5.3777995,6.0710673,2.9737182,.26533675,2.6340871,3.3133492,2.7675242,.24844113,2.4495196,3.0855289,1.2037792,.70660377,.29932639,2.108232,2.3922589,.19414005,2.1437597,2.640758,1.9880946,.22825636,1.6959264,2.2802627,1.7979203,.20855598,1.5309687,2.064872,2.464546,.19282094,2.2177351,2.7113569,2.8342123,.72695577,1.9037089,3.7647157,1.9350624,.66907585,1.0786453,2.7914796
India,2020,IND2020,IND,356,750,44,5.7504597,.54005718,5.0591865,6.4417329,4.9997921,.5092501,4.3479519,5.6516323,3.2964394,.5001781,2.6562114,3.9366674,3.6405716,.57643437,2.9027357,4.3784075,7.3210454,.37253591,6.8441997,7.7978911,3.5217595,.23703744,3.2183516,3.8251674,6.6809788,.56314039,5.9601593,7.4017982,3.1999533,.26244754,2.8640206,3.535886,,,,,4.1985173,.76190418,3.22328,5.1737547,4.3113208,.68658066,3.4324975,5.1901441
India,2021,IND2021,IND,356,750,44,5.8550019,.29480436,5.4776525,6.2323513,5.3157496,.34717628,4.8713641,5.7601352,3.9476757,.27296808,3.5982766,4.2970748,3.751451,.34849676,3.3053751,4.1975269,10,0,10,10,3.7468123,.1764295,3.5209825,3.9726422,6.275641,.35433948,5.8220863,6.7291956,3.7865887,.18017465,3.5559652,4.0172124,3.6404409,.27410278,3.2895894,3.9912925,4.7708125,.74035549,3.8231575,5.7184677,4.3500066,.65780485,3.5080163,5.1919966
India,2022,IND2022,IND,356,750,44,5.8482175,.35609525,5.3924155,6.3040195,4.7599964,.56428695,4.0377092,5.4822836,3.2519555,.37637722,2.7701926,3.7337184,3.5680702,.42098492,3.0292094,4.1069307,10,0,10,10,3.8366971,.28200859,3.4757261,4.1976681,6.0482078,.44925871,5.4731565,6.6232591,4.1329474,.25254282,3.8096926,4.456202,3.5425625,.27866691,3.1858687,3.8992562,4.5186291,.77258879,3.5297155,5.5075426,4.4769726,.65563971,3.6377537,5.3161912
Bangladesh,2021,BGD2021,BGD,50,771,45,3.8930929,.47902676,3.2799387,4.506247,3.9774096,.46186396,3.3862238,4.5685954,3.3042743,.47530082,2.6958892,3.9126594,3.5337276,.52296185,2.8643365,4.2031188,5.7820582,.89175266,4.640615,6.9235015,3.6965168,.39471015,3.1912878,4.201746,3.8916554,.35769129,3.4338107,4.3495002,4.7620869,.50457126,4.1162357,5.407938,5.8667936,.78744882,4.8588591,6.8747282,2.8334529,.72254241,1.9085987,3.7583072,4.2860322,.64828467,3.4562278,5.1158366
Bangladesh,2022,BGD2022,BGD,50,771,45,4.384901,.48181334,3.7681799,5.0016222,4.8898706,.44550073,4.3196297,5.4601116,3.3704338,.45663497,2.7859411,3.9549265,3.7414389,.4987509,3.1030378,4.3798399,6.3500276,.62992704,5.5437207,7.1563344,3.6482036,.31752515,3.2417715,4.054636,3.9506319,.39319313,3.4473445,4.4539189,4.2955332,.40394631,3.778482,4.8125844,6.2730799,.78443134,5.2690077,7.2771521,3.4855285,.7423358,2.5353386,4.4357181,4.0266047,.68960911,3.1439049,4.9093041
Maldives,2021,MDV2021,MDV,462,781,46,7.9402776,.46507409,7.3449826,8.5355721,7.5882068,.56096989,6.8701653,8.3062487,5.1716876,.39412293,4.6672101,5.6761651,6.0984435,.38376597,5.607223,6.589664,10,0,10,10,5.3332253,.54508549,4.6355157,6.0309348,6.0041771,.77664822,5.0100675,6.9982867,4.5040431,.46654937,3.9068599,5.1012263,,,,,7.0481033,.73381805,6.1088161,7.9873905,5.3012056,.76423192,4.322989,6.2794223
Maldives,2022,MDV2022,MDV,462,781,46,7.9483438,.48598713,7.3262801,8.5704069,7.5836616,.56209868,6.8641753,8.3031483,5.2031794,.39303041,4.7001004,5.7062583,6.1180396,.39201462,5.616261,6.6198182,10,0,10,10,5.036067,.54073244,4.3439293,5.7282047,5.5661912,.68013597,4.6956172,6.4367652,4.6634431,.42801893,4.1155787,5.2113075,,,,,7.0518513,.72246814,6.1270919,7.9766107,5.1268344,.7649532,4.1476941,6.1059747
Thailand,2021,THA2021,THA,764,800,47,6.6339502,.37944317,6.148263,7.1196375,5.7367811,.63142407,4.9285583,6.5450039,2.8235803,.58468974,2.0751774,3.5719831,4.8582392,.3638753,4.3924789,5.3239994,10,0,10,10,3.7625065,.32478783,3.3467782,4.1782351,5.4092236,.52005231,4.7435565,6.0748906,3.7054105,.39408267,3.2009847,4.2098365,,,,,5.4190006,.75193441,4.4565244,6.3814769,4.2033272,.70054883,3.3066247,5.1000295
Thailand,2022,THA2022,THA,764,800,47,6.6708107,.33727491,6.239099,7.1025224,5.8394198,.60653812,5.0630512,6.6157885,3.0832319,.4904398,2.4554689,3.710995,5.1493979,.34503385,4.7077546,5.5910411,10,0,10,10,3.7908895,.34889621,3.3443024,4.2374768,5.3474789,.48318508,4.729002,5.9659557,4.1421638,.34613985,3.6991048,4.5852227,,,,,5.3695178,.73963946,4.4227791,6.3162565,4.473999,.68333864,3.5993257,5.3486724
